,City
0,hasaki
1,umm lajj
2,kodiak
3,leningradskiy
4,coihaique
5,atuona
6,vaini
7,san patricio
8,carnarvon
9,albany
10,bontang
11,alofi
12,lazaro cardenas
13,busselton
